1000 47978
1 8 32
1 33 24
1 38 17
1 63 22
1 76 37
1 100 25
1 105 39
1 120 18
1 131 33
1 181 30
1 221 23
1 255 12
1 269 30
1 278 48
1 287 29
1 289 53
1 307 45
1 310 11
1 339 45
1 340 17
1 385 27
1 392 0
1 430 1
1 438 36
1 462 30
1 470 26
1 474 5
1 477 44
1 494 36
1 530 32
1 589 9
1 628 7
1 657 6
1 661 18
1 664 34
1 671 31
1 705 35
1 711 22
1 743 40
1 753 32
1 766 20
1 771 41
1 792 47
1 806 19
1 816 46
1 823 45
1 828 20
1 852 11
1 884 27
1 891 45
1 929 37
1 932 8
1 946 45
1 957 45
1 966 44
1 995 36
2 7 25
2 64 41
2 68 21
2 74 51
2 75 57
2 92 32
2 127 2
2 149 36
2 154 19
2 160 43
2 199 44
2 252 43
2 254 21
2 258 46
2 277 28
2 303 14
2 314 25
2 329 6
2 345 55
2 346 11
2 354 2
2 360 44
2 388 25
2 441 21
2 443 43
2 445 17
2 451 24
2 476 24
2 495 54
2 501 55
2 507 17
2 553 17
2 599 44
2 603 34
2 623 32
2 632 52
2 635 11
2 668 14
2 697 44
2 742 60
2 766 36
2 778 47
2 896 21
2 906 60
2 927 58
2 979 38
2 988 38
2 991 62
2 992 36
3 8 47
3 15 25
3 25 36
3 32 21
3 41 14
3 52 22
3 62 1
3 65 4
3 107 3
3 137 33
3 141 22
3 146 48
3 184 9
3 192 2
3 247 13
3 265 26
3 279 50
3 318 0
3 324 35
3 330 46
3 360 11
3 389 43
3 395 3
3 426 33
3 471 49
3 479 44
3 502 5
3 524 21
3 526 26
3 551 26
3 566 49
3 570 53
3 590 7
3 630 8
3 662 49
3 682 40
3 683 55
3 714 26
3 725 5
3 738 41
3 745 23
3 747 14
3 793 40
3 813 48
3 839 44
3 854 42
3 883 11
3 887 34
3 895 62
3 900 43
3 966 44
3 990 22
4 15 41
4 30 22
4 32 12
4 35 44
4 41 31
4 53 14
4 85 45
4 102 10
4 125 22
4 133 43
4 149 22
4 194 0
4 215 29
4 216 15
4 235 13
4 237 27
4 264 0
4 291 10
4 292 4
4 308 18
4 317 36
4 328 1
4 335 27
4 364 23
4 394 7
4 472 32
4 478 45
4 483 8
4 485 8
4 497 6
4 532 39
4 536 23
4 539 55
4 552 0
4 566 21
4 571 28
4 600 38
4 604 50
4 624 49
4 636 34
4 688 20
4 703 8
4 724 4
4 737 43
4 739 45
4 743 33
4 748 12
4 764 29
4 798 37
4 805 34
4 857 7
4 884 34
4 933 11
4 949 34
4 964 44
4 979 29
4 1000 42
5 11 36
5 64 6
5 79 0
5 99 28
5 115 20
5 120 28
5 128 22
5 137 8
5 149 5
5 200 49
5 204 20
5 216 7
5 231 21
5 233 10
5 289 32
5 319 32
5 322 27
5 323 8
5 336 21
5 402 49
5 417 30
5 451 3
5 456 42
5 469 10
5 499 34
5 508 18
5 523 47
5 527 24
5 554 18
5 579 2
5 586 27
5 626 33
5 634 4
5 647 48
5 710 10
5 743 48
5 744 3
5 747 53
5 752 9
5 770 41
5 789 22
5 804 30
5 811 19
5 824 49
5 833 38
5 843 41
5 893 36
5 900 8
5 908 37
5 933 28
5 944 46
5 977 36
5 980 9
5 982 37
5 983 28
5 991 43
6 54 3
6 79 19
6 81 38
6 95 27
6 99 47
6 106 14
6 111 51
6 125 37
6 158 32
6 170 37
6 236 42
6 237 10
6 264 11
6 313 14
6 315 30
6 326 27
6 340 52
6 352 41
6 361 46
6 393 0
6 397 3
6 411 42
6 443 51
6 447 32
6 465 34
6 483 0
6 510 7
6 513 41
6 522 4
6 544 32
6 560 52
6 567 13
6 575 4
6 610 28
6 617 18
6 630 50
6 643 6
6 719 18
6 744 39
6 763 41
6 772 51
6 793 62
6 800 26
6 815 49
6 832 13
6 840 33
6 845 20
6 865 16
6 866 36
6 897 4
6 908 16
6 922 21
6 938 35
6 943 32
6 978 26
6 986 12
6 995 11
6 997 29
7 30 15
7 33 36
7 38 45
7 48 25
7 59 26
7 144 40
7 153 45
7 173 24
7 189 3
7 192 42
7 196 43
7 211 16
7 242 35
7 244 50
7 320 42
7 322 15
7 362 17
7 391 0
7 421 28
7 499 45
7 508 0
7 512 37
7 528 43
7 550 26
7 572 40
7 593 29
7 602 7
7 615 37
7 618 9
7 656 53
7 663 35
7 666 35
7 668 36
7 672 12
7 685 39
7 707 48
7 724 25
7 760 26
7 764 17
7 793 13
7 800 27
7 848 48
7 859 26
7 882 5
7 888 4
7 902 4
7 905 11
7 978 9
8 19 30
8 27 11
8 40 51
8 67 19
8 78 7
8 85 0
8 124 17
8 134 9
8 153 53
8 160 55
8 176 47
8 185 22
8 197 22
8 221 48
8 230 37
8 289 21
8 301 50
8 317 2
8 346 50
8 357 20
8 386 44
8 399 21
8 414 8
8 421 28
8 437 17
8 444 36
8 454 11
8 458 24
8 460 36
8 493 10
8 495 31
8 500 52
8 507 22
8 550 32
8 564 5
8 597 21
8 613 37
8 632 48
8 637 35
8 647 13
8 664 44
8 668 38
8 675 44
8 689 18
8 724 5
8 751 54
8 791 33
8 823 48
8 839 55
8 878 19
8 881 35
8 883 56
8 892 54
8 912 46
8 949 19
8 975 43
8 978 29
8 983 17
9 38 40
9 63 18
9 160 42
9 169 32
9 187 7
9 189 14
9 191 9
9 204 35
9 217 2
9 218 45
9 231 0
9 261 15
9 267 48
9 322 4
9 339 12
9 342 47
9 358 42
9 383 26
9 384 33
9 409 42
9 446 5
9 452 42
9 459 5
9 466 36
9 479 50
9 500 12
9 528 3
9 540 50
9 587 28
9 605 32
9 622 38
9 625 28
9 627 28
9 636 27
9 657 12
9 660 17
9 676 0
9 678 0
9 703 2
9 712 42
9 752 2
9 792 7
9 807 13
9 811 8
9 818 50
9 827 26
9 837 20
9 847 15
9 861 46
9 864 13
9 865 15
9 870 33
9 884 20
9 892 19
9 893 17
9 901 38
9 914 11
9 921 42
10 11 27
10 55 51
10 65 41
10 80 26
10 96 39
10 106 37
10 143 37
10 177 2
10 180 15
10 215 32
10 223 48
10 252 15
10 265 28
10 266 25
10 267 5
10 273 4
10 279 28
10 281 0
10 319 32
10 355 38
10 356 14
10 446 16
10 450 41
10 454 12
10 505 17
10 537 51
10 585 12
10 609 5
10 617 57
10 638 22
10 670 11
10 679 10
10 693 56
10 696 40
10 710 45
10 723 52
10 733 25
10 738 13
10 788 54
10 810 32
10 816 58
10 820 47
10 832 16
10 843 9
10 845 45
10 854 42
10 859 21
